system_name,station_name
Carum,Clute Hub
Carunda,Sekelj Settlement
Cashis,Beltrami Enterprise
Casmatyas,Muramatsu Dock
Caspatha,Brooks Settlement
Caspatsuria,Ehrenfried Kegel Prospect
Caspatsuria,van de Hulst's Progress
Caspian,Efremov Platform
Cassurindui,Vela Prospect
Catalauni,Lander Station
Catalauni,Yano Ring
Catalauni,Hardy Station
Catarihas,Hardwick Hangar
Catarihas,Aleksandrov Port
Catarihas,Springer Landing
Catarites,Artsebarsky Dock
Catarites,Teng-hui Terminal
Cate,Clifford Depot
Catucandit,Pytheas Terminal
Catucandit,Binder Survey
Catucaya,McDivitt City
Catun,Gardner Orbital
Catuncheim,Remec Refinery
Catuntinigi,Loncke Hub
Catuntinigi,Hui Enterprise
Cauani,Hardy City
Cauani,Harrison Hub
Cauani,Poisson Hub
Cauani,Bentham Terminal
Cauani,Eilenberg Port
Cauani,Napier Orbital
Cauani,Bohr Vision
Caucan,Morukov Settlement
Caucan,Culpeper Station
Caucandaga,Brunel Dock
Caucandaga,Scobee Orbital
Caucandaga,Popper's Folly
Caucini,Williams Refinery
Cauda,McCormick Camp
Cauda,Wright Depot
Cavane,Luiken Installation
Cavincan,Stabenow Port
Cavincan,Cremona Terminal
Cavincan,Barreiros Orbital
Cayura,Crampton Station
Cayura,Gagarin Colony
Cayura,Collins Prospect
CC Eri,Hire Port
CC Eri,Gooch Terminal
CD-24 5005,Hoshi Port
CD-24 5005,McAuley Dock
CD-25 1159,Williams Orbital
CD-25 1159,Paulmier de Gonneville Landing
CD-26 14379,Richards Dock
CD-26 14379,Frimout Terminal
CD-26 14379,Skvortsov Station
CD-26 369,Gurney Vision
CD-26 369,Truman Holdings
CD-26 369,Xuesen Estate
CD-26 369,Jean Settlement
CD-27 5409,Howard Orbital
CD-27 5409,Plexico Dock
CD-27 5409,Aitken City
CD-27 5409,West City
CD-27 5409,Meaney Dock
CD-27 5409,Adams Gateway
CD-27 5409,Shipton Terminal
CD-27 5409,Bunch Beacon
CD-28 12950,Keyes Port
CD-28 12950,VanderMeer Ring
CD-28 12950,Hovell City
CD-28 12950,Besonders Terminal
CD-28 18350,Oikawa City
CD-28 18350,Morrill Station
CD-30 9687,Savitskaya Ring
CD-35 6972,Papin Terminal
CD-35 6972,Napier's Folly
CD-35 9019,Pelt Base
CD-37 641,Ball Dock
CD-37 641,Tikhonravov City
CD-37 641,Qureshi Dock
CD-37 641,Lagrange City
CD-39 14212,Galiano Beacon
CD-39 14212,Nelson Vision
CD-39 3269,Sturt's Inheritance
CD-44 10336,Margulis Station
CD-44 10336,Herschel Horizons
CD-44 224,Koolhaas Vision
CD-45 11273,Asher Orbital
CD-46 14401,Klein Enterprise
CD-46 14401,Stith Ring
CD-51 102,McDermott Enterprise
CD-51 2650,Noether Dock
CD-51 2650,Walker Platform
CD-51 881,Sukhoi Installation
CD-51 881,Hoerner City
CD-51 881,Potez Station
CD-51 881,Mayer Works
CD-51 9202,Bond Enterprise
CD-51 9202,Holdstock City
CD-51 9202,Rucker Base
CD-52 9466,Miklouho-Maclay Station
CD-52 9466,Makeev Platform
CD-53 136,Schuster Dock
CD-53 136,Lyne Holdings
CD-53 136,Theodor Winnecke Station
CD-53 136,Thesiger Plant
CD-53 9442,Folland Station
CD-53 9442,Dunlop Dock
CD-53 9442,Roemer Dock
CD-54 9671,Somayaji Terminal
CD-55 1514,Edgeworth Terminal
CD-55 1514,Laveykin Port
CD-55 1514,Hardwick Hub
CD-55 1514,Dirac Ring
CD-55 1514,Kendrick Hub
CD-55 1514,Ray Holdings
CD-58 538,Hornby Station
CD-58 538,Meade Ring
CD-58 538,Haberlandt Orbital
CD-58 7880,Zhuravleva City
CD-58 7880,Zeppelin City
CD-58 7880,Wolf Dock
CD-59 1724,Herbert Refinery
CD-59 4616,Vinogradov Colony
CD-60 278,Chacornac's Progress
CD-61 6651,Polansky's Inheritance
CD-62 136,Wu Base
CD-63 1560,Watanabe City
CD-63 1560,Barmin Ring
CD-69 5,Clements Sentinel Industries
CD-69 5,Dias Platform
CD-69 5,Williamson Refinery
CD-73 12,Alexander Brongniart
CD-74 144,Johnson Installation
CD-74 144,Elst Hub
CD-74 632,Brooks' Progress
CD-77 45,Delsanti Station
CD-82 331,Rawat Dock
CD-82 331,Lee Dock
CD-86 4,Cummings Dock
CD-87 103,Shajn City
CE Bootis,Moskowitz Gateway
CE Bootis,Hovell Terminal
CE Bootis,Asher Gateway
Cebalrai,Hornblower Dock
Cebalrai,Kuhn City
Cebalrai,Dutton Terminal
Cebalrai,Blackwell Vision
Ceginus,Bunnell Platform
Celes,Oxley Hub
Celevik,Clervoy Orbital
Celevik,Dirac Dock
Celtaurii,Panshin Base
Celtibitou,Shaara Hangar
Celtibitou,Cogswell Outpost
Cemiess,Jones Hub
Cemiess,Meech Dock
Cemiess,Hamuy Port
Cemiess,Metcalf Orbital
Cemiess,Titius Station
Cemiess,Shoemaker City
Cemiess,Glass City
Cemiess,Mackenzie Relay
Cemplangpa,Nicholson Orbital
Cemplangpa,Kirby City
Cemplangpa,Gorgani Orbital
Cemplangpa,Mather Vision
Cemplangpa,Ahnert Dock
Cemplangpa,Nakamura Hub
Cemplangpa,Heck Refinery
Cempsigi,Nikolayev Prospect
Cempsigi,Schiltberger Terminal
Cenoi,Weber Refinery
Cenu Kichs,Cady Beacon
Ceraunii,Kimberlin Vision
Cerktondhs,Bluford Gateway
Cerktondhs,Buchli Terminal
Cerktondhs,Hahn Orbital
Cerno,Kanwar Enterprise
Cerno,Stabenow Survey
Ceroesii,Galton Landing
Ceroesii,Khan Station
Ceronir,Check Orbital
Ceronir,Keeler Terminal
Cerritics,Townshend Station
Cerrodi,Flinders' Progress
Cerry,Fuglesang Landing
Certo,Lagrange Platform
Certo,Hayden Dock
Certo,Joliot-Curie Beacon
Cet,McKay Ring
Cet,Yaping Ring
Cet,Prunariu Port
CH Aquilae,Cori Station
CH Aquilae,Akers Ring
CH Aquilae,Bloomfield Station
Chac,Klein Dock
Chac,Grassmann Orbital
Chacahua,Schlesinger Terminal
Chacahua,Check Terminal
Chacahua,Heinkel Landing
Chacobog,Finney Holdings
Chacoc,Hughes Landing
Chacoc,Pratchett Legacy
Chacocha,Purbach Holdings
Chacocha,O'Neill Settlement
Chacocha,Tarski Prospect
Chagin,Tyson Plant
Chagin,Macquorn Rankine Works
Chakma,Dunbar Holdings
Chakmo,Kornbluth Hangar
Chakmo,Scithers Plant
Chakpa,Williams Dock
Chakul,Babbage Settlement
Chakul,Payton Platform
Chakyum,Lyell Port
Chakyum,Boyle Port
Chakyum,Sellers Gateway
Chakyum,Bentham Prospect
Chamas,Hustler's Ambition
Chambo,Deb Settlement
Chambo,Deluc Settlement
Chana,Ross Station
Chana,McArthur Terminal
Chana,Swigert Hub
Chana,Schweickart Orbital
Chana,Trevithick Dock
Chana,Wedge Orbital
Chanarsi,Houten-Groeneveld Landing
Chanarsi,Giancola Prospect
Chande,McClintock's Inheritance
Chang,Darboux's Folly
Chang Hsien,Lagerkvist Prospect
Chang Hsien,Thiele Hub
Chang Shor,Stanley Plant
Chang Shor,Baydukov Platform
Changai,Narita Dock
Changai,Kippax Port
Changai,Kerr Dock
Changai,Roberts Refinery
Changgu,Mendeleev Colony
Changgu,Braun Landing
Changthini,Walker Platform
Changthini,Shkaplerov Hangar
Changthini,Popper's Folly
Changur,Tyson Orbital
Chanii,Lundwall Hub
Chanii,Green Colony
Chankates,Piccard Settlement
Chaona,Weil Enterprise
Chaona,Zamyatin Dock
Chaona,Lee Dock
Chapo,Ali Port
Chapo,Fincke Platform
Chapoyo,Richards Settlement
Charang,Brooks Vision
Charang,Jordan Outpost
Charang,Bellamy Terminal
Charenner,Kennan Orbital
Charunder,Whitworth Station
Charunder,Karl Diesel Port
Charunder,Chomsky Terminal
Charunder,Mattingly City
Charunder,Leestma Station
Charunder,McClintock Orbital
Charunder,Behnken Orbital
Charunder,Onufriyenko City
Charunder,Agassiz Plant
Charunder,Stephens Prospect
Chatkwa,Santos Vision
Chaxiraxi,Liska Dock
Chaxiraxi,Gamow Orbital
Chaxiraxi,Metcalf Orbital
Chayahun Di,Nearchus Landing
Chayahun Di,Rodrigues Terminal
Chayansi,Bernoulli Hangar
Chebaei,Bulychev Beacon
Chedians,Shavyrin Prospect
Chedita,Frechet Beacon
Cheditjala,Coney Prospect
Chehe,Hansen Vision
Chehoonggu,Bresnik Port
Chehoonggu,Rashid Station
Chelgit,McBride Base
Chelidones,Zettel Port
Chelidones,Steakley Settlement
Chelmen,Emshwiller Hub
Chelmen,Toll Horizons
Chelmentes,Fermat Vision
Chelmentes,Palmer Terminal
Chemaluk,Virts Dock
Chemaluk,Pogue Station
Chemaluk,Tereshkova Enterprise
Chemaluk,Gantt's Folly
Chemaluk,Wollheim's Inheritance
Chemaya,Baffin City
Chemaya,Herbert's Inheritance
Chen Zaihe,Rosenberg Settlement
Cheneti,Hammel Lab
Cheneti,Speke Survey
Chengurr,Hilmers Terminal
Chengurr,Dana City
Chentrima,Klimuk Vision
Chentrima,Gagarin Platform
Cherang,Swift Prospect
Cherang,Stjepan Seljan Base
Cherbones,Chalker Landing
Chernobo,Ellis Settlement
Chernobo,Laveykin Platform
Chersem,Malchiodi Prospect
Chertan,Elgin Hub
Chertan,Lewis Hub
Chey,Helms Terminal
Chey,Wiberg Refinery
Chhal,Gregory's Progress
Chi Eridani,Berners-Lee Refinery
Ch'i Lin,Fallows Orbital
Ch'i Lin,Challis Vision
Ch'i Lin,Lemaitre Dock
Ch'i Lin,Barr Holdings
Ch'i Ling,Petaja Enterprise
Chi Orionis,Carey Terminal
Chi Orionis,Cayley Terminal
Chia,McKay Installation
Chia,Raleigh Point
Ch'ian,Elvstrom Beacon
Ch'iang Fei,Fisher Hub
Ch'iang Fei,Cleave Vision
Chibiabos,Weber Terminal
Chibiabos,Stanier Orbital
Chibiabos,White's Progress
Chibio,Sauma Enterprise
Chibis,Vercors Depot
Chibis,Witt's Progress
Chiburri,Brackett Enterprise
Chicchang,Sitterly Refinery
Chick Bara,Israel Station
Chick Bara,Fernao do Po Laboratory
Chicoana,Drew Colony
Chicoana,Hale Platform
Chicoana,Nagel Platform
Chicomoztoc,Goldschmidt Port
Chicomoztoc,Ilyushin Port
Chicomoztoc,Orbik Orbital
Chicomoztoc,Brom Dock
Chicomoztoc,Lee Port
Chicomoztoc,Farghani Orbital
Chih Hiner,Kanai Plant
Chih Sungu,Ashby Platform
Chih Sungu,Trevithick Terminal
Chih Zha,Sverdrup Beacon
Chih Zha,Hinz Hangar
Chih Zhua,Anthony Enterprise
Chih Zhua,Walker Orbital
Chih Zhua,Grant's Folly
Chiks,Curie Refinery
Chimagi,Jacquard Port
Chimagi,Dalton Plant
Chimasates,Burnham Landing
Chimba,Nikolayev Hub
Chimba,Hurley Port
Chimba,Thornton Hub
Chimba,Henry Orbital
Ch'in Shou,Emshwiller Installation
Ch'ing,Hiroyuki Relay
Ch'ing,Drake Landing
Chinggamin,Bass Installation
Ch'ingsonde,McArthur City
Ch'ingsonde,Schrodinger Orbital
Ch'ingsonde,Solovyov Gateway
Chini,Laird Station
Chini,Janes Enterprise
Chini,Mallory Dock
Chini,Dayuan Installation
Chini,Carlisle Works
Chini,den Berg's Folly
Chino,McKie Dock
Chipatisany,Cowling Hub
Chipatisany,Artzybasheff Landing
Chipibogi,Tanner Platform
Chique,Stephenson Base
Chique,Lopez de Villalobos Landing
Chirskokum,Yakovlev Vision
Chirskokum,Baillaud City
Chiutl,Roggeveen Works
Chlevit,Witt Prospect
Chlevit,Pashin's Progress
Chlevit,Hiraga Beacon
Chnoumis,Nachtigal's Inheritance
Chnuphis,Shaw Settlement
Chnuphis,Sheckley Settlement
Chnupi,Williams Settlement
Chnupi,McMullen Orbital
Chnupi,Beebe Plant
Chnupi,Burroughs Base
Chodhara,Fung Installation
Choenpetese,Paulmier de Gonneville Installation
Chokota,Afanasyev City
Chokota,Scheutz Ring
Chokota,Ford Enterprise
Cholhou,Crown Plant
Chona,Smoot Station
Chona,Iben Orbital
Chongguls,Filipchenko Gateway
Chongguls,Divis Terminal
Chongguls,Gerst Port
Chongguls,Meade Installation
Chongi,Kagan Prospect
Chongi,Alexandrov Landing
Chongquan,Bagian Point
Chongquan,Pippin Terminal
Chonsu,Haisheng Refinery
Chonsu,Georg Bothe's Inheritance
Chontantici,Rzeppa Dock
Chontantici,Rontgen Beacon
Chontina,McNair's Folly
Chorote,Kondratyev Settlement
Ch'ortamaye,Wnuk-Lipinski Settlement
Chotec,Betancourt Refinery
Chothe,Bartoe Platform
Chothe,Vishweswarayya Beacon
Chou Wargl,Hale Vision
Choujem,Gromov Orbital
Choujemait,Norman Settlement
Choujemait,Gloss Plant
Choujemait,Mitra Dock
Chouvumbia,Vogel City
Chouvumbia,Sevastyanov Dock
Chouvumbia,Hooke Holdings
Chowei,Swigert Port
Ch'u Ti,Fincke Hub
Ch'u Ti,Snyder Landing
Chualang Mu,Pytheas Point
Chualang Mu,McMullen Installation
Chuanabosso,Quick Vision
Chuanabosso,Ivens Horizons
Chuang Mu,Onnes Base
Chuelche,Fuglesang Landing
Chuelche,Sellers Relay
Chuevik,Prunariu Port
Chuevik,Duffy Point
Chujohim,Oleskiw Depot
Chujohim,Parker Refinery
Chukchitan,Ellis Orbital
Chukchitan,Brandenstein Terminal
Chukchitan,Tyurin Dock
Chukchu,Roberts Platform
Chukchu,Makarov Dock
Chukchu,Chapman Plant
Chuku,Wilson Landing
Chuku,Blish's Inheritance
Chukun,Bassford Vision
Chukun,Gurney Prospect
Chukun,Benford's Inheritance
Chun,Fernao do Po Landing
Chun,Dias Settlement
Chunja,Kowal City
Chunja,Millosevich Holdings
Chunja,Boscovich Station
Chunja,Patry Prospect
Chuntabon,Sekowski Prospect
Chuntabon,Doyle Depot
Chup Kamui,Savinykh Platform
Chup Kamui,Novitski's Inheritance
Chup Kamui,Huberath Settlement
Chuquiar,Smith Landing
Chuquiba,Beckman Port
Chuquiba,Engle Terminal
Chuquiba,Macarthur Gateway
Chuuahill,Kozin Platform
Chuuahill,Bulychev Plant
Chaac,Lem Dock
Chaac,Gerlache Installation
Chaaratisa,Potagos Installation
Cibola,Sansebar
Cibola,Dominique Vision
Cimmerighe,Johnson City
Cimmerighe,Van Scyoc Station
Cimmerighe,Coles Dock
Cintani,Laumer Installation
Cintani,Kennicott Horizons
Cintuatera,Nye Settlement
Circe,Nowak Refinery
Circe,Hornby Refinery
Cizicni,Bunnell Terminal
Cizicni,Carleson Depot
Clarus,Wilmore City
Clarus,Lorenz City
Clarus,Yegorov Vision
Clee,Babcock Orbital
Clee,Sharman Station
Clee,Goeschke City
Clido Pi,Elcano Installation
Clionometes,Anthony Station
Clionometes,Selous Ring
Clionometes,Ziemkiewicz Terminal
Clionometes,Fermat Holdings
Clotti,O'Connor Hangar
Clotti,Redi Dock
CN Bootis,Sellings City
CN Bootis,Davis Dock
CN Bootis,Aldiss Dock
CN Bootis,Pullman Refinery
Coana,Wilhelm Holdings
Coanoa,Zwicky Dock
Coanoa,Neujmin Platform
Coanoa,Banno Prospect
Coastin,O'Leary Lab
Coastsege,Scheerbart Refinery
Cochipati,Nye Station
Cochipati,Kwolek Port
Cocorix,Miletus Dock
Cocorix,Serrao Dock
Cocorix,Ponce de Leon Settlement
Cocorix,Auld Holdings
Cocornsa,Gelfand Vision
Coelacara,Bond Installation
Coelans,Abnett Holdings
Coelrind,Feoktistov Orbital
Colai,Fourier Depot
Colanja,Garriott Settlement
Colanja,Teng-hui Landing
Colanja,Watson Horizons
Colanja,Vishweswarayya Vision
Coma,So-yeon Hub
Coma,Malenchenko City
Coma,Alcala Port
Comane,Huberath Hub
Comane,May Estate
Comanes,Langsdorff Holdings
Comaucate,Kahn's Folly
Concani,Bierce Station
Concani,Grant Enterprise
Concani,Hayden Co-operative
Concani,Watts Vision
Concantae,Hodgkinson Beacon
Condi,Gemar Station
Condi,Ray Station
Coni,Marcy Terminal
Coni,Jewitt Landing
Contegus,Wang Dock
Contien,Eanes Vision
Contien,Stevens Vision
Contii,Garnier Enterprise
Conven,Phillpotts' Progress
Conventes,Ordway Plant
Copityar,Darwin Landing
Copityar,Herzog Orbital
Coquessa,Fung Point
Coquessa,Musgrave Works
Coqui Xee,Bell City
Coqui Xee,Durrance Hangar
Coqui Xee,Mullane Platform
Coqui Xee,Gardner Base
Coras,Berkey Works
Corbago,Pratchett Hub
Corbago,Kafka Terminal
Corbenic,Hertz City
Corbenic,Fermi Landing
Corbin,Dyson Dock
Corbin,Hopkins Dock
Corbin,Illy City
Corbin,Savinykh City
Corbin,Midgley Hub
Cordenses,Wylie Co-operative
Cordenses,Kirk Enterprise
Cordenses,Harris Terminal
Cordenses,Ballard Works
Coriccha,Beckman Station
Coriccha,Schirra Dock
Coriccha,Rushd City
Coriccha,Gurney Orbital
Coriccha,Tanner City
Corin,Seki Vision
Corin,Nomen Port
Corin,Lassell Station
Corin,Sandage City
Corioskur,Ackerman Settlement
Corithi,Auld Platform
Corn Pin,Boodt Terminal
Cornengu,Pike Enterprise
Cornengu,Kessel Terminal
Corngaranga,Teng Hub
Corycia,Piper Hub
Corycia,Drexler Hub
Corycia,Armstrong Port
Cosi,Worlidge Station
Cosi,Julian City
Cosi,Henry Hub
Cosi,Ising Hub
Cosi,Marshall Hub
Cosi,Solovyov Orbital
Cosi,Zettel Refinery
Cotigagaial,Northrop Landing
Cotine,Darboux Landing
Cowini,Chorel Plant
Cowiska,Remec Dock
Cowiska,Larbalestier Beacon
Cozaanat,Robert Terminal
CPC 22 212,Roed Odegaard City
CPC 22 212,Rechtin Gateway
CPD-28 332,Hopkins Station
CPD-28 332,Lebedev Hub
CPD-28 332,Winne Gateway
CPD-59 314,Helin Hub
CPD-70 2439,Godwin Dock
CPD-70 2439,Szentmartony Dock
CPD-70 2439,Weyn Dock
CPO 24,Heng Terminal
CPO 24,Grabe Hangar
CR Draco,Celebi Hub
CR Draco,Semeonis Settlement
Cratanakulu,Sekowski Landing
Cromovit,Swanwick Prospect
Cromovit,Guin Dock
Cromovit,Watts Installation
Cromovit,Remek Settlement
Crowfor,Simonyi Station
Crowfor,Szebehely Port
Crowfor,Ewald Station
Crowfor,Apgar City
Crowfor,Makarov Terminal
Cuachini,Eskridge Ring
Cuachini,Gibson Gateway
Cuacocha,Bering Hub
Cubere,White's Folly
Cubere,Hartlib Installation
Cuchua,Lasswitz Terminal
Cuchaan,Onufriyenko Beacon
Cuchaan,Bolotov Settlement
Cuic,Brady Colony
Cuichit,Moorcock Gateway
Cuichit,Herbert City
Cuichit,Makeev Gateway
Cuichit,McAllaster Laboratory
Cuichit,Brosnan Base
Cumalam,Lambert Prospect
Cupen,Tilman Arena
Cupen,Obruchev Installation
Cupiat,Phillips City
Cupiat,Quimper Orbital
Cupinook,Selous Orbital
Cupinook,Broderick Terminal
Cupinook,Weyl Terminal
Cupinook,Andrews Dock
Cupinook,Vonarburg Terminal
Cupinook,Moorcock City
Cupinook,Malocello City
Cupinook,Rotsler Terminal
Cupinook,Gelfand Lab
Cupinook,Bondar Platform
CW Ursae Majoris,Fung Settlement
CW Ursae Majoris,Halley Port
CX Com,Carrasco Orbital
Cynetek,Pudwill Gorie Hub
Cynetek,Morukov Settlement
Cynetek,Barnaby Landing
Cynetes,Nansen's Inheritance
Cynetes,Moore Vision
Dabakaja,Tietjen City
Dabakaja,Karachkina Hub
Dabakaja,Miyasaka Settlement
Dadal,Fiennes City
Dadal,Dedman Landing
Daesi,Zhuravleva Holdings
Daesi,Clayton's Folly
Daesuratun,Ahern Plant
Daga tri,Sverdrup Plant
Daga tri,Barbaro Landing
Dagaz,Bohnhoff Hub
Dagaz,Abasheli Landing
Dagdhangjel,Pasteur Terminal
Dagr,Chaviano Platform
Dagr,Shalatula Colony
Daha,Bagian Orbital
Daha,Burbank Orbital
Daha,Jacquard City
Daha,Jun Dock
Daha,Leibniz Station
Daha,Mukai Orbital
Daha,Tereshkova Hub
Daha,Tombaugh City
Daha,Lopez de Legazpi Works
Dahambwe,Khan Port
Dahambwe,Comino Landing
Dahan,Dahan 3 Metalworks
Dahan,Dahan Gateway
Daibais,Stein Enterprise
Daibais,Ozanne Prospect
Daiburi,Tsibliyev Station
Daiburi,Bakewell Installation
Daibus,Snodgrass' Inheritance
Daikonjungu,Comer Works
Daikulcandi,Chretien Oudemans Hangar
Daikulcandi,Krenkel Station
Daikulcandi,Fraunhofer Installation
Dajoarama,Bolton Dock
Dakshu,Lefschetz Base
Dakshu,Rubruck Dock
Dala,Fincke Platform
Dala,Gillekens Landing
Dalang,Scithers Holdings
Dalannovale,Siodmak Prospect
Dalannovale,Abernathy Relay
Dalevard,Shepherd City
Dall,Wolszczan Beacon
Dallenja,Toll's Progress
Dao Jungu,Landis Terminal
Dao Kach,Sherrington Landing
Dao Kach,Pontes Refinery
Dao Zi,Savitskaya Gateway
Dao Zi,Coleman Orbital
Dao Zi,Bohr Gateway
Daori,Benford Installation
Daori,Clement Depot
Daraki,McAuley Vision
Daramo,Selye Enterprise
Darian,Palmer Works
Darkan,DeLucas Landing
Darkan,Lee Platform
Darku,Baker City
Darku,H. G. Wells Landing
Daruwutja,Emshwiller Vision
Daruwutja,Green Estate
Deacon's Star,Mouchez Platform
Decamandak,Offutt Base
Decean,Fincke Terminal
Dechengh,Fischer City
Dechengh,Ray Orbital
Deciat,Garay Terminal
Deciat,Matteucci Dock
Deciat,Carson Hub
Dedwender,Jemison Station
Delkar,Invergary
Delphin,Clark Orbital
Delphin,Aristotle Orbital
Delphin,Kondratyev Orbital
Delphin,Swigert Orbital
Delta Equulei,Bisson Hub
Delta Pavonis,Schneider Orbiter
Delta Pavonis,Stephenson Orbital
Delta Pavonis,Hooper Relay
Deneb Algedi,Burke Port
Deneb Algedi,Fadlan Refinery
Deneb Algedi,Fraser Refinery
Denebola,Dirac Terminal
Denka,Gernsback Vision
Deorinik,Lee Hub
Deorinik,Hodgkin Prospect
Deorinik,Sohl Works
Derebititja,Rey's Folly
Deriv-Dar,Kekule City
Deriv-Dar,Yaping Port
Deriv-Dar,Duckworth City
Deriv-Dar,Nespoli Orbital
Deriv-Dar,Davy Terminal
Deriv-Dar,Siemens Station
Deriv-Dar,Stillman Settlement
Derrim,Miletus Enterprise
Derrim,Nachtigal Hub
Derrim,Regiomontanus Hub
Desubi,Lloyd Wright Terminal
Desubi,Hay Hub
Desubi,Baade Orbital
Desubi,Alexander Enterprise
Deurber,Greenland Landing
Deurber,Harrison Settlement
Deurber,Andree Settlement
Deuriara,Laval Hub
Deuriara,Zhen Port
Devaku,Howe Terminal
Devaku,Plaskett Hub
Devaku,Dolgov Colony
Devana,Dittmar Hub
Devana,Ghez Orbital
Devana,Purbach Orbital
Devana,Greene Dock
Devana,Shinjo Vision
Devana,Cowell Hub
Devane,Davies City
Devata Baru,Haberlandt Plant
Dewi,Longyear Estate
Dewi,Zahn Landing
Dewikum,Wyeth Platform
Dewi'xil,Guth Landing
Dewi'xil,Ozanne Settlement
Dewi'xilaga,Sturt Beacon
Deyus,Nelson Landing
Deyus,Hoard Terminal
DH leonis,Hugh Dock
DH leonis,Dyr Terminal
DH leonis,Eskridge Dock
Dhak,Plait Vision
Dhak,Shavyrin Vision
Dhak,King Installation
Dhakhan,Nelson Terminal
Dhakhan,Moskowitz Orbital
Dhang K'an,Rashid Works
Dhangba,Moffitt Terminal
Dhangba,Veblen City
Dhangba,Coles Orbital
Dhangba,Gibson Terminal
Dhanhopi,Galouye Orbital
Dhanhopi,Plucker Enterprise
Dhanhopi,Pytheas Gateway
Dhanhopi,Brothers Settlement
Dharuek,Vaugh Depot
Dhathaut,Viehbock Hub
Dhathaut,Helms Hub
Dhathaut,Goddard Port
Dhathaut,Lu Station
Dhathaut,Crown Dock
Dhathaarib,Berezovoy Terminal
Dhathaarib,Mills Settlement
Dheneb,Henson Gateway
Dhor,Lagrange Landing
Dhor,Litke Prospect
Dhorai,Navigator Installation
Di Kun,Bigourdan Platform
Di Kun,Porco Landing
Di Yi,Fraser Settlement
Di Yi,Forbes Dock
Diabanda,Kapp Dock
Diabanda,Everest Co-operative
Diabanda,Muhammad Ibn Battuta Port
Diabozo,Abbott Plant
Diaguandri,Ray Gateway
Dian Cecht,Lichtenberg Plant
Dian Cecht,Drexler Colony
Didavas,Culpeper Landing
Didavas,Hahn Plant
Didawar,Goryu Prospect
Diegakul,Wallace Orbital
Diegakul,Diesel Orbital
Dierites,Zhen City
Dierites,Leoniceno City
Dierites,Wetherbee Port
Dieslic,Fernandez Works
Difu,Backers Pledge High
Difu,Frobac's Hope
Difu,Bunsen Orbital
Dijkstra,Allen Platform
Dilati,Reamy Settlement
Dilga,Ghez Dock
Dilga,Perrine Orbital
Dilga,Flettner Depot
Dilgariang,Still Installation
Dilwanes,Eckford Beacon
Dimai,Coulomb Plant
Dinda,Mount Sunday
Dinda,Yeliseyev Station
Diomawi,Kanai Hub
Diomawi,de Andrade Vision
Diousteri,Cugnot Hangar
Diousteri,Kovalyonok Orbital
Diousteri,Cayley Terminal
Dironii,MacDonald Prospect
Dis Pater,Lazutkin Gateway
Disci,Snodgrass Orbital
Ditia,Arkwright City
Ditibi,Crown Refinery
Ditibi,Biggle Observatory
Djabe,Schumacher Estate
Djaghom Dun,Yolen Installation
Djak,Leestma Terminal
Djalakuru,Baker Holdings
Djalakuru,Houtman Settlement
Djalakuru,Moriarty's Inheritance
Djamburii,Springer Base
Djamitra,Bohm Plant
Djandandrun,Tanaka Dock
Djandandrun,Dashiell Refinery
Djandji,Ellis Dock
Djandji,Watson Platform
Djanharu,Fujimori Landing
Djaujang,Cochrane Refinery
Djaujang,Martins Prospect
Djedet,Linnaeus Hangar
Djedet,Thoreau Platform
Djendelis,Atwater Enterprise
Djendelis,Faris Ring
Djendelis,Simonyi City
Djenn Crua,Schommer Refinery
Djenni,Thome Installation
Djenni,Sudworth Terminal
Djera,Rizvi's Folly
Djeranses,Hauck Gateway
Djeranses,Rorschach Dock
Djeranses,Murray Terminal
Djinaura,Willis Park
Djinbin,Galiano Plant
Djira,Mallett Terminal
Djiwali,Narbeth's Progress
Djiwar,Szilard Platform
Djiwar,Roberts Orbital
Djiwar,Ride Installation
DK Leonis,Newcomen Orbital
DK Leonis,Wingqvist Dock
DK Ursae Majoris,Csoma Landing
DK Ursae Majoris,Westerfeld City
Dobunn,Landis' Folly
Docleachi,al-Haytham Station
Docleachi,Anthony Landing
Docleachi,Kroehl Vision
Dogoneja,Midgley's Progress
Domocast,Okorafor Prospect
Don,Solovyov City
Don,Alcala Station
Don,Chapman City
Dongasa,Froud Holdings
Dongasa,Beaumont Base
Dongkum,Kotzebue Laboratory
Doris,Carlisle Refinery
Doris,Beebe Dock
Doris,Tapinas Terminal
Doris,Bulmer Terminal
Dount,Bohme Vision
Dount,Airy Refinery
Dounthiassi,Webb Depot
DP Camelopardalis,Zewail Dock
DR Crucis,Harness Settlement
Dragese,O'Brien's Progress
Drevlya Mu,Stuart Settlement
Drevlya Mu,Griffith Landing
Drevlya Mu,Charnas Terminal
Drevlyada,Jacobi Holdings
Drevlyada,Dukaj Works
DS Leonis,Grandin Terminal
DT Virginis,So-yeon Vision
Du Shama,Vaugh Landing
Du Shenge,Moore Orbital
Du Shenge,Brackett Port
Du Shenge,Rosenberg Plant
Du Shenge,Volterra Settlement
Duamta,Polyakov Station
Duamta,Herrington City
Duamta,Vesalius City
Duamta,Wang City
Duduseklis,Roche Port
Duduseklis,Kuiper Plant
Dugnates,Moresby Settlement
Dugnates,Clapperton Settlement
Dulerce,Scithers City
Dulerce,Wiener Terminal
Dulerce,Hippalus Hub
Dulerce,Minkowski Works
Dulerce,Kettle Vision
Dulos,Milnor Station
